SurveyDateStamp	SurveyType	SurveyID	Reach_Name	Reach_ID	Cell_Size	Use	pctCoverage
20070221		IL_BR_MVR_20070221_CS_29002910_07A	Brandon Road Pool RM 290 - 291.1	IL_BR_MVR_5	10	1	65.61
20070307		IL_BR_MVR_20070307_CS_28922900_07A	Brandon Road Pool RM 290 - 291.1	IL_BR_MVR_5	10	1	5.04
20080123		IL_BR_MVR_20080123_CS_29002910_08A	Brandon Road Pool RM 290 - 291.1	IL_BR_MVR_5	10	1	84.04
20090513		IL_BR_MVR_20090513_CS_28982902_09A	Brandon Road Pool RM 290 - 291.1	IL_BR_MVR_5	10	1	19.58
20101221		IL_BR_MVR_20101221_CS_29002910_10A	Brandon Road Pool RM 290 - 291.1	IL_BR_MVR_5	10	1	69.74
20110322		IL_BR_MVR_20110322_CS_28982902_11A	Brandon Road Pool RM 290 - 291.1	IL_BR_MVR_5	10	1	7.37
20130109		IL_BR_MVR_20130109_CS_29002910_13A	Brandon Road Pool RM 290 - 291.1	IL_BR_MVR_5	10	1	67.9
20220506		IL_BR_MVR_20220506_CS_28802900_22A	Brandon Road Pool RM 290 - 291.1	IL_BR_MVR_5	10	1	7.42
20220506		IL_BR_MVR_20220506_CS_29002910_22A	Brandon Road Pool RM 290 - 291.1	IL_BR_MVR_5	10	1	70.72
20010206		IL_CS_MVR_20010206_CS_30303200_01A	Cal Sag Channel RM 303.5 - 304	IL_CS_MVR_1	10	1	61.81
20040204		IL_LP_MVR_20040204_CS_30303040_04A	Cal Sag Channel RM 303.5 - 304	IL_CS_MVR_1	10	1	71.54
20040225		IL_CS_MVR_20040225_CS_30403050_04A	Cal Sag Channel RM 303.5 - 304	IL_CS_MVR_1	10	1	17.73
20080128		IL_CS_MVR_20080128_CS_30403050_08A	Cal Sag Channel RM 303.5 - 304	IL_CS_MVR_1	10	1	2
20080306		IL_LP_MVR_20080306_CS_30303040_08A	Cal Sag Channel RM 303.5 - 304	IL_CS_MVR_1	10	1	68.56
20100210		IL_CS_MVR_20100210_CS_30323040_10A	Cal Sag Channel RM 303.5 - 304	IL_CS_MVR_1	10	1	82.68
20100210		IL_CS_MVR_20100210_CS_30403050_10A	Cal Sag Channel RM 303.5 - 304	IL_CS_MVR_1	10	1	9.79
20110302		IL_CS_MVR_20110302_CS_30403050_11A	Cal Sag Channel RM 303.5 - 304	IL_CS_MVR_1	10	1	12.68
20110803		IL_CS_MVR_20110803_CS_30383041_11B	Cal Sag Channel RM 303.5 - 304	IL_CS_MVR_1	10	1	32.43
20130129		IL_CS_MVR_20130129_CS_30323035_13A	Cal Sag Channel RM 303.5 - 304	IL_CS_MVR_1	10	1	39.76
20130130		IL_CS_MVR_20130130_CS_30363046_13A	Cal Sag Channel RM 303.5 - 304	IL_CS_MVR_1	10	1	53.16
20210304		IL_CS_MVR_20210304_CS_30303050_21A	Cal Sag Channel RM 303.5 - 304	IL_CS_MVR_1	10	1	77.18
20010206		IL_CS_MVR_20010206_CS_30303200_01A	Cal Sag Channel RM 304 - 305	IL_CS_MVR_2	10	1	84.51
20040225		IL_CS_MVR_20040225_CS_30403050_04A	Cal Sag Channel RM 304 - 305	IL_CS_MVR_2	10	1	91.09
20080128		IL_CS_MVR_20080128_CS_30403050_08A	Cal Sag Channel RM 304 - 305	IL_CS_MVR_2	10	1	93.04
20100210		IL_CS_MVR_20100210_CS_30403050_10A	Cal Sag Channel RM 304 - 305	IL_CS_MVR_2	10	1	92.83
20110302		IL_CS_MVR_20110302_CS_30403050_11A	Cal Sag Channel RM 304 - 305	IL_CS_MVR_2	10	1	89.24
20110803		IL_CS_MVR_20110803_CS_30383041_11B	Cal Sag Channel RM 304 - 305	IL_CS_MVR_2	10	1	3.58
20130130		IL_CS_MVR_20130130_CS_30363046_13A	Cal Sag Channel RM 304 - 305	IL_CS_MVR_2	10	1	59.35
